	﻿	﻿	﻿
корвет	ертвко	ткеовр	оквтер
материал	мааилрте	тмаерила	лаатирем
из	из	зи	зи
википедии	кпииивеид	ииеидкпив	виипдкиеи
			
свободной	одойнобсв	ндбвойоос	оосндбйво
энциклопедии	еиоэдцнплиик	иокцлипиэенд	цоипиэлндкеи
текущая	яуетщак	тащекуя	кяащету
версия	ирсевя	вряисе	реисвя
страницы	ысрцтаин	ырстцаин	наиысцтр
пока	паок	пкао	апко
не	ен	не	ен
проверялась	рвсяьоеплра	опрврьясела	васьрпорляе
опытными	тыопными	итопнмыы	пымнитыо
участниками	ачткинсмуаи	ачуаксинмит	нсуаиткмчиа
и	и	и	и
может	етжмо	жемот	ежотм
значительно	ьнеоизлтчна	ачзеилнотьн	оьлтиаезчнн
отличаться	тстлаьчияо	тяиьчтлсоа	очттаилсяь
от	от	от	от
версии	еиврис	висире	врсиие
проверенной	пееононвррй	нпереврйноо	пйенрорнвео
			
августа	сгвуаат	ваагутс	гатсвуа
			
проверки	еорвркпи	вкреипро	рвиопкре
требуют	тбуреют	тютрбуе	тбтуерю
			
правки	кпарви	киварп	аиквпр
у	у	у	у
этого	отгэо	гоэот	готоэ
термина	тенарим	метнари	ниаетрм
существуют	стюстщвуеу	щеувсюустт	уусвтщюетс
и	и	и	и
другие	ергдиу	ургеид	ергдиу
значения	иеаннзчя	наизяечн	ечаинязн
см	мс	мс	мс
корвет	врокте	ерктов	воркте
значения	азняиенч	инзчаяне	ячзенаин
аверс	асерв	всаре	варес
монеты	ынтоме	мыотне	теыонм
в	в	в	в
			
евроцента	црвотенае	арцтевнео	еравонцет
греция	ергцяи	гиецяр	иеягцр
с	с	с	с
изображением	еажимзиебнор	озбжнемиаеир	иржбаенеоизм
корвета	ораквте	рвкеаот	окртаве
времён	ёмнерв	емрнвё	реёмнв
войны	йнвоы	ыойнв	ноыйв
за	аз	за	аз
независимость	зсневтсоаиимь	оатимивсезьсн	санитмоезиьвс
греции	еицриг	ирегци	циегри
корве́т	твоеќр	токвер́	воетрќ
			
класс	сскал	салкс	лскса
военных	нехынво	выонхне	нноехвы
кораблей	оекрлайб	аклейобр	бйлкеаор
предназначенных	хыннчапрнаенедз	ынрзннхпаеаденч	чдрыаненезаннхп
для	для	дял	для
сторожевой	йосежвотор	овосрожйте	оевойржсто
и	и	и	и
конвойной	квйнооонй	йовнокной	овнкйнойо
службы	бсыжул	сублыж	ужлсыб
противолодочной	тволиорочоднйоп	чпртлоойиновдоо	войоочлтидпроон
и	и	и	и
противовоздушной	инвтуорзошойвдоп	оипоздйшвонотвру	овнпоошовйуиздрт
обороны	ыробноо	ыоброон	ронобоы
военно-морских	нио-нвсркхомое	сновок-неоихрм	ирвомео-кнносх
баз	зба	бза	бза
основные	неоносыв	онвносые	венсыноо
задачи	изчаад	даиачз	дчаиаз
современных	мхсренынвео	нмвсреоеыхн	мосынвенрех
корветов	ктеввроо	рвовекот	вквороет
			
противолодочная	орячаооитлндвоп	чаооитяопровнлд	онпоядвиаотчлор
оборона	боонаор	оаоорнб	оноаорб
корабельного	корнгблаьеоо	оеаобркнльог	бгаольенкоро
соединения	иеондяесин	иеенядосни	дниояинеес
конвоя	явонок	окнвоя	якоонв
или	или	или	или
берегового	вггооеорбе	гговербеоо	еоевоогрбг
объекта	еътабко	объкате	аобекът
военно-морской	йовонсмкорн-ео	евкрнмо-ооносй	еой-кмворононс
базы	ыбаз	ыбза	абыз
порта	атпор	торап	ортап
и	и	и	и
т	т	т	т
п	п	п	п
слово	оолсв	лсоов	ослов
«корвет»	»ркоевт«	т«еорк»в	»врокт«е
предположительно	реждитоьлоеплноп	ьлтоеоилнпджроеп	лпдпеоонржьоилте
происходит	родситопих	опидсорихт	стииопрдох
от	от	от	от
термина	еатнмри	тнмраеи	миатрен
лат	тла	лта	тал
corbita	tobiarc	irtacbo	traibco
			
разновидность	асрньвионоздт	аьсднознвотри	встизнародньо
римского	госоримк	симкроог	рмкоогис
торгового	гргвоооот	оворготог	гоовгоорт
корабля	коарбля	блокаяр	лкарояб
который	ыкроойт	ыорйотк	ыоткйро
в	в	в	в
свою	оювс	всюо	юосв
очередь	ееоьчдр	рдоечье	оечрдье
образован	орбнаазов	взооарнба	вбрнозоаа
от	от	от	от
лат	тла	лат	лта
corbis	rciosb	orsibc	isorcb
			
«корзина»	р«»иаознк	зи«»арнко	розани»«к
история	оиртяис	ортияси	иристяо
французский	зкфуцрсйиан	фзйцарускин	фйцнасукзир
паровой	ооарйпв	йравопо	впораой
корвет	вркоет	кротев	веткро
dupleix	lpixedu	ldexpiu	peixuld
			
в	в	в	в
эпоху	оэпху	уэпхо	оэхуп
парусного	проусгано	усаонрпог	рпонсуаог
флота	олтфа	отфал	тфлао
корветом	ооктревм	омкеотвр	ерткоомв
называли	нвыаализ	заынвлиа	лзнвиааы
трёхмачтовый	хмыртёчйатов	чрмвтёыйтаох	ёрвйыотхачтм
военный	енвойны	венйоын	веынонй
корабль	ьлброка	ьокрабл	окбльар
xvii—xix	ixx—iivx	—iiivxxx	iivixx—x
вв	вв	вв	вв
с	с	с	с
