	630
в	183
и	77
по	43
на	36
с	34
потери	31
кувейта	27
ирака	23
от	22
из	21
год	20
править	19
война	18
код	18
персидском	17
заливе	17
года	17
не	16
оон	16
до	16
коалиции	15
буря	15
декабря	15
операции	14
пустыне	14
время	13
кувейт	13
мнс	13
погибших	13
к	12
ирак	12
войны	12
операция	12
была	12
во	11
хусейн	11
а	11
было	11
после	11
самолётов	11
кувейте	10
саудовской	10
сша	10
февраля	10
о	10
для	10
проверено	10
при	9
силы	9
авиации	9
действий	9
сил	9
войска	9
корабля	9
потерь	9
августа	8
военнослужащих	8
за	8
был	8
общей	8
около	8
человек	8
медицинский	8
персонал	8
ираке	7
аравии	7
см	7
пустыни	7
боевых	7
что	7
иракской	7
нефти	7
часть	7
вторжения	7
страны	7
них	7
данным	7
ввс	6
войск	6
щит	6
году	6
оккупации	6
сложности	6
или	6
тыс	6
военных	6
января	6
ходе	6
составило	6
уничтожено	6
число	6
результате	6
стр	6
ссылки	5
может	5
у	5
авиация	5
над	5
ираком	5
иракских	5
ниже	5
иракская	5
также	5
участие	5
территории	5
основная	5
армии	5
подразделения	5
саудовскую	5
аравию	5
ираку	5
со	5
солдат	5
количество	5
транспортных	5
долларов	5
которых	5
более	5
других	5
том	5
числе	5
иракского	5
погибло	5
потеряно	5
архивировано	5
израиле	4
сб	4
аль	4
султан	4
саддам	4
оружия	4
уже	4
вторжение	4
мировой	4
компенсации	4
как	4
статья	4
вооружённых	4
тем	4
менее	4
этом	4
резолюцию	4
свои	4
это	4
были	4
граждан	4
стороны	4
стран	4
данные	4
тысяч	4
кораблей	4
самолёта	4
войне	4
залив	4
иракские	4
огня	4
технике	4
плен	4
единиц	4
антииракской	4
воздушных	4
оценке	4
комиссия	4
июня	4
гг	4
версия	3
страницы	3
навигация	3
этого	3
существуют	3
саудовская	3
аравия	3
республика	3
шварцкопф	3
ибн	3
сауд	3
бин	3
века	3
силами	3
того	3
самолетов	3
получила	3
название	3
все	3
последствия	3
его	3
же	3
скважин	3
дивизии	3
противника	3
кувейтского	3
захвата	3
пво	3
безопасности	3
иракское	3
начали	3
кувейтские	3
ряд	3
лишь	3
стали	3
организации	3
саддама	3
международной	3
границы	3
резолюция	3
многонациональных	3
небольшой	3
включая	3
контингент	3
защиты	3
один	3
самолёт	3
но	3
районе	3
млрд	3
скад	3
удар	3
иракцев	3
марта	3
сбитого	3
список	3
начала	3
окончания	3
людские	3
танка	3
только	3
взято	3
захвачено	3
танков	3
вертолётов	3
летательных	3
аппаратов	3
учётом	3
мирных	3
жителей	3
самолёты	3
армия	3
всего	3
млн	3
тонн	3
компенсационная	3
м	3
–	3
·	3
использующие	2
волшебные	2
аравии","войны	2
